county_desc,precinct_abbrv,precinct_desc,reg_active,reg_inactive,reg_other_status,reg_total,party_dem,party_lib,party_rep,party_unaf,party_other,race_asian,race_black,race_aian,race_multiracial,race_other_race,race_nhpi,race_undesignated,race_white,eth_hispanic,eth_not_hispanic,eth_undesignated,gender_female,gender_male,gender_unknown,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75plus,age_under_18,age_unknown,reg_removed,
WARREN,014,EAST WARRENTON,993,181,0.0,1174.0,653,5,100,235,0,2,675,8,2,24,0,77,386,18,720,436,606,485,83,67,164,186,131,210,235,181,0,0,0.0,0.0
WASHINGTON,LM,LEES MILL,1478,250,0.0,1728.0,839,4,258,377,0,1,917,2,1,21,1,162,623,23,1310,395,852,722,154,129,191,200,192,304,371,341,0,0,0.0,0.0
WASHINGTON,P1,PLYMOUTH 1,1096,194,0.0,1290.0,615,3,153,325,0,5,701,1,3,15,1,164,400,11,961,318,630,505,155,147,182,147,150,203,278,183,0,0,0.0,0.0
WASHINGTON,P2,PLYMOUTH 2,848,143,0.0,991.0,519,2,77,250,0,2,609,0,1,16,0,147,216,9,696,286,476,383,132,101,146,141,116,171,203,113,0,0,0.0,0.0
WASHINGTON,P3,PLYMOUTH 3,1990,265,0.0,2255.0,928,4,455,603,0,6,853,1,5,34,0,238,1118,18,1715,522,1159,864,232,224,298,290,284,367,421,371,0,0,0.0,0.0
WASHINGTON,SC,SCUPPERNONG,959,139,0.0,1098.0,373,3,252,330,1,2,282,2,3,22,0,78,709,19,789,290,543,476,79,87,149,141,126,194,217,184,0,0,0.0,0.0
WASHINGTON,SK,SKINNERSVILLE,760,91,0.0,851.0,307,3,199,250,1,0,244,2,0,6,0,61,538,4,616,231,404,371,76,64,91,84,114,154,194,150,0,0,0.0,0.0
WATAUGA,01,BALD MOUNTAIN,510,53,0.0,563.0,125,4,193,188,0,0,2,0,3,12,0,28,518,8,401,154,265,262,36,49,79,78,93,95,95,74,0,0,0.0,0.0
WATAUGA,02,BEAVER DAM,983,95,0.0,1078.0,157,2,443,380,1,1,5,0,2,5,0,56,1009,8,784,286,521,496,61,108,118,132,165,178,193,184,0,0,0.0,0.0
WATAUGA,03,BLOWING ROCK,2484,311,0.0,2795.0,593,5,867,1017,2,7,19,3,8,35,1,131,2591,20,1944,831,1391,1241,163,171,332,282,285,464,637,624,0,0,0.0,0.0
WATAUGA,04,BLUE RIDGE,3395,422,0.0,3817.0,742,9,1182,1458,4,30,41,4,7,73,1,173,3488,51,2624,1142,1935,1699,183,361,645,549,475,561,627,599,0,0,0.0,0.0
WATAUGA,05,BOONE 1,1359,354,0.0,1713.0,516,9,157,672,5,18,66,2,21,30,0,135,1441,61,1131,521,872,709,132,540,549,137,136,139,94,118,0,0,0.0,0.0
WATAUGA,06,BOONE 2,2500,666,0.0,3166.0,702,25,261,1506,6,47,116,7,85,70,4,584,2253,254,1708,1204,1495,1224,447,2339,655,58,37,29,26,22,0,0,0.0,0.0
WATAUGA,07,BRUSHY FORK,3121,690,0.0,3811.0,814,18,697,1587,5,37,83,3,47,92,0,312,3237,154,2507,1150,1899,1636,276,1104,1007,387,296,357,363,297,0,0,0.0,0.0
WATAUGA,08,COVE CREEK,2089,246,0.0,2335.0,384,9,891,802,3,9,8,3,2,35,0,89,2189,28,1757,550,1150,1094,91,210,350,380,336,381,362,316,0,0,0.0,0.0
