county_desc,precinct_abbrv,pop_total,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two_more,pop_hispanic,pop_white_nonhisp,vap_total,vap_white,vap_black,vap_aian,vap_asian,vap_hispanic,vap_white_nonhisp,pop_nonwhite,pct_white,pct_black,pct_hispanic,pct_asian,pct_nonwhite,vap_pct
VANCE,WH,5319,2441,2419,13,111,0,123,212,235,2400,4286,2134,1837,8,76,159,2104,2878,0.4589,0.4548,0.0442,0.0209,0.5411,0.8058
WAKE,01-01,3051,2370,287,8,102,2,44,238,160,2328,2653,2095,235,5,91,133,2062,681,0.7768,0.0941,0.0524,0.0334,0.2232,0.8696
WAKE,01-02,3245,2890,86,13,67,0,37,152,140,2862,2843,2544,77,9,58,122,2519,355,0.8906,0.0265,0.0431,0.0206,0.1094,0.8761
WAKE,01-03,2629,2460,22,10,28,0,13,96,59,2441,2035,1932,21,10,20,37,1914,169,0.9357,0.0084,0.0224,0.0107,0.0643,0.7741
WAKE,01-04,1569,1471,25,1,13,0,15,44,37,1462,1261,1190,22,1,12,26,1184,98,0.9375,0.0159,0.0236,0.0083,0.0625,0.8037
WAKE,01-05,1518,1337,12,8,18,0,13,130,102,1328,1174,1035,11,7,17,88,1026,181,0.8808,0.0079,0.0672,0.0119,0.1192,0.7734
WAKE,01-06,3824,3281,135,6,96,0,46,260,165,3250,3562,3084,127,5,88,145,3053,543,0.858,0.0353,0.0431,0.0251,0.142,0.9315
WAKE,01-07,3595,2779,383,8,176,0,52,197,205,2714,3390,2631,375,7,168,186,2569,816,0.773,0.1065,0.057,0.049,0.227,0.943
WAKE,01-09,1650,1482,30,0,19,0,14,105,66,1469,1278,1153,22,0,18,50,1144,168,0.8982,0.0182,0.04,0.0115,0.1018,0.7745
WAKE,01-10,2013,1881,18,0,24,0,3,87,58,1869,1481,1388,14,0,22,39,1379,132,0.9344,0.0089,0.0288,0.0119,0.0656,0.7357
WAKE,01-11,3227,2967,55,2,68,0,22,113,72,2947,2482,2290,49,1,58,59,2273,260,0.9194,0.017,0.0223,0.0211,0.0806,0.7691
WAKE,01-12,2765,2376,165,7,34,0,37,146,121,2347,2222,1940,148,2,28,72,1916,389,0.8593,0.0597,0.0438,0.0123,0.1407,0.8036
WAKE,01-13,2297,1615,379,5,23,3,127,145,204,1588,1824,1345,274,4,19,128,1327,682,0.7031,0.165,0.0888,0.01,0.2969,0.7941
WAKE,01-14,4670,3664,522,0,79,1,66,338,220,3619,3918,3125,422,0,66,170,3087,1006,0.7846,0.1118,0.0471,0.0169,0.2154,0.839
WAKE,01-15,3238,2701,205,3,95,0,66,168,175,2657,2862,2385,185,3,89,158,2346,537,0.8342,0.0633,0.054,0.0293,0.1658,0.8839
WAKE,01-16,4357,3035,628,16,191,0,211,276,391,2991,3650,2657,493,8,147,275,2623,1322,0.6966,0.1441,0.0897,0.0438,0.3034,0.8377
WAKE,01-17,1525,1363,34,1,38,0,0,89,45,1350,1202,1085,24,1,30,37,1075,162,0.8938,0.0223,0.0295,0.0249,0.1062,0.7882
WAKE,01-18,5066,2700,734,34,190,2,992,414,1384,2608,4015,2278,606,21,154,938,2223,2366,0.533,0.1449,0.2732,0.0375,0.467,0.7925
