district_type,district,base_trump,base_harris,base_total,base_margin,base_winner,sim_trump_raw,sim_harris_raw,sim_margin_raw,sim_winner_raw,sim_trump_blend,sim_harris_blend,sim_margin_blend,sim_winner_blend,flipped_raw,flipped_blend
cong_dist,12.0,764.3333333333333,928.6666666666667,1693.0,-9.71,Harris,793.3333333333334,964.0,-9.71,Harris,791.3333333333333,966.0,-9.94,Harris,False,False
cong_dist,13.0,2349.333333333333,3189.8,5539.133333333333,-15.17,Harris,2463.8,3353.4666666666662,-15.29,Harris,2461.3333333333335,3355.9333333333334,-15.38,Harris,False,False
cong_dist,14.0,1535.0,1437.6666666666667,2972.666666666667,3.27,Trump,1597.6666666666667,1496.3333333333333,3.28,Trump,1589.3333333333335,1504.6666666666665,2.74,Trump,False,False
sldu_dist,13.0,1073.0,1681.4666666666667,2754.4666666666667,-22.09,Harris,1130.1333333333334,1770.1333333333332,-22.07,Harris,1131.0,1769.2666666666667,-22.01,Harris,False,False
sldu_dist,14.0,566.0,961.8,1527.8,-25.91,Harris,592.8,1007.8,-25.93,Harris,594.3333333333334,1006.2666666666667,-25.74,Harris,False,False
sldu_dist,15.0,378.3333333333333,505.3333333333333,883.6666666666666,-14.37,Harris,394.6666666666667,527.3333333333334,-14.39,Harris,394.0,528.0,-14.53,Harris,False,False
sldu_dist,16.0,600.0,1449.6666666666667,2049.666666666667,-41.45,Harris,612.3333333333334,1479.0,-41.44,Harris,615.0,1476.3333333333333,-41.19,Harris,False,False
sldu_dist,17.0,1107.0,2169.3333333333335,3276.3333333333335,-32.42,Harris,1149.6666666666667,2241.3333333333335,-32.19,Harris,1151.6666666666665,2239.333333333333,-32.08,Harris,False,False
sldu_dist,18.0,378.3333333333333,505.3333333333333,883.6666666666666,-14.37,Harris,394.6666666666667,527.3333333333334,-14.39,Harris,394.0,528.0,-14.53,Harris,False,False
sldu_dist,26.0,859.0,466.6666666666667,1325.6666666666667,29.6,Trump,894.6666666666667,486.3333333333333,29.57,Trump,886.6666666666667,494.33333333333337,28.41,Trump,False,False
sldu_dist,27.0,859.0,466.6666666666667,1325.6666666666667,29.6,Trump,894.6666666666667,486.3333333333333,29.57,Trump,886.6666666666667,494.33333333333337,28.41,Trump,False,False
sldu_dist,34.0,1792.6666666666665,827.3333333333334,2620.0,36.84,Trump,1878.3333333333335,868.0,36.79,Trump,1857.3333333333333,889.0,35.26,Trump,False,False
sldu_dist,35.0,1792.6666666666665,827.3333333333334,2620.0,36.84,Trump,1878.3333333333335,868.0,36.79,Trump,1857.3333333333333,889.0,35.26,Trump,False,False
sldu_dist,37.0,781.3333333333334,946.0,1727.3333333333335,-9.53,Harris,827.3333333333334,1001.6666666666666,-9.53,Harris,824.0,1005.0,-9.9,Harris,False,False
sldu_dist,38.0,781.3333333333334,946.0,1727.3333333333335,-9.53,Harris,827.3333333333334,1001.6666666666666,-9.53,Harris,824.0,1005.0,-9.9,Harris,False,False
sldu_dist,45.0,843.6666666666666,533.3333333333334,1377.0,22.54,Trump,893.3333333333334,564.6666666666666,22.54,Trump,883.0,575.0,21.12,Trump,False,False
sldu_dist,47.0,843.6666666666666,533.3333333333334,1377.0,22.54,Trump,893.3333333333334,564.6666666666666,22.54,Trump,883.0,575.0,21.12,Trump,False,False
sldl_dist,3.0,1352.6666666666667,780.3333333333334,2133.0,26.83,Trump,1554.6666666666667,897.0,26.83,Trump,1510.0,941.6666666666666,23.18,Trump,False,False
sldl_dist,4.0,539.0,235.66666666666666,774.6666666666666,39.16,Trump,599.0,262.0,39.14,Trump,583.6666666666666,277.3333333333333,35.58,Trump,False,False
sldl_dist,10.0,539.0,235.66666666666666,774.6666666666666,39.16,Trump,599.0,262.0,39.14,Trump,583.6666666666666,277.3333333333333,35.58,Trump,False,False
sldl_dist,13.0,1352.6666666666667,780.3333333333334,2133.0,26.83,Trump,1554.6666666666667,897.0,26.83,Trump,1510.0,941.6666666666666,23.18,Trump,False,False
sldl_dist,17.0,1109.3333333333333,507.6666666666667,1617.0,37.21,Trump,1151.0,527.0,37.19,Trump,1140.6666666666665,537.3333333333334,35.96,Trump,False,False
sldl_dist,18.0,466.6666666666667,673.3333333333334,1140.0,-18.13,Harris,490.0,707.0,-18.13,Harris,489.6666666666667,707.3333333333334,-18.18,Harris,False,False
sldl_dist,19.0,1109.3333333333333,507.6666666666667,1617.0,37.21,Trump,1151.0,527.0,37.19,Trump,1140.6666666666665,537.3333333333334,35.96,Trump,False,False
sldl_dist,20.0,466.6666666666667,673.3333333333334,1140.0,-18.13,Harris,490.0,707.0,-18.13,Harris,489.6666666666667,707.3333333333334,-18.18,Harris,False,False
sldl_dist,35.0,651.3333333333334,869.6666666666666,1521.0,-14.35,Harris,683.3333333333334,912.6666666666666,-14.37,Harris,682.3333333333334,913.6666666666666,-14.49,Harris,False,False
sldl_dist,42.0,75.66666666666667,450.0,525.6666666666666,-71.21,Harris,84.66666666666667,503.6666666666667,-71.22,Harris,94.33333333333333,494.0,-67.93,Harris,False,False
sldl_dist,44.0,75.66666666666667,450.0,525.6666666666666,-71.21,Harris,84.66666666666667,503.6666666666667,-71.22,Harris,94.33333333333333,494.0,-67.93,Harris,False,False
sldl_dist,66.0,651.3333333333334,869.6666666666666,1521.0,-14.35,Harris,683.3333333333334,912.6666666666666,-14.37,Harris,682.3333333333334,913.6666666666666,-14.49,Harris,False,False
sldl_dist,73.0,915.6666666666666,235.33333333333334,1151.0,59.11,Trump,948.6666666666666,243.66666666666666,59.13,Trump,938.6666666666666,253.66666666666666,57.45,Trump,False,False
sldl_dist,82.0,915.6666666666666,235.33333333333334,1151.0,59.11,Trump,948.6666666666666,243.66666666666666,59.13,Trump,938.6666666666666,253.66666666666666,57.45,Trump,False,False
sldl_dist,98.0,1133.0,1726.0,2859.0,-20.74,Harris,1171.3333333333333,1784.0,-20.73,Harris,1171.3333333333333,1784.0,-20.73,Harris,False,False
sldl_dist,106.0,1133.0,1726.0,2859.0,-20.74,Harris,1171.3333333333333,1784.0,-20.73,Harris,1171.3333333333333,1784.0,-20.73,Harris,False,False
