county,registered_youth,registered_total
EMERALD ISLE,228,3838
FALLING CREEK,635,6611
FALLSTON,127,1506
FREEDMAN,470,4858
GAMEWELL,412,4243
GOLDSTON,223,2812
GRACE CHAPEL,397,4527
GRANITE FALLS,260,2720
GRAPE CREEK,33,447
GREENMONT,162,1256
GROVER,270,2933
HADLEY,104,1552
HANGING DOG,44,730
HARKERS ISLAND,55,962
HAYESVILLE CENTRAL,30,414
HAYESVILLE ONE,73,1166
HAYESVILLE TWO,111,1536
HIAWASSEE,93,1513
HIBRITEN,301,3661
HICKORY MOUNTAIN,166,1748
HIGHLAND,207,2297
HIWASSEE DAM,139,2178
HOT HOUSE,81,1497
HUDSON,460,5183
INDIAN BEACH/SALTER PATH/PINE KNOLL,84,1720
JORDAN LAKE,206,2442
KENWORTH,142,1321
KINGS CREEK,100,1148
KINGS MOUNTAIN NORTH,413,4467
KINGS MOUNTAIN SOUTH,417,4128
KINGSTOWN,56,739
LAKE NORMAN,377,4502
LATTIMORE,268,2502
LAWNDALE,133,1541
LEASBURG,37,558
LENOIR,380,4090
LOCUST HILL,148,1808
LONGVIEW NORTH,153,1422
LONGVIEW SOUTH,115,1052
MAIDEN,349,3305
MARBLE,99,1293
MARSHALLBERG/SMYRNA,48,611
MERRIMON,17,495
MILL CREEK,33,458
MILTON,112,1689
MONCURE,200,2028
MONOGRAM,181,2128
MOORESBORO-YOUNG,130,1479
MOREHEAD 1,206,2287
MOREHEAD 2,206,2586
MOREHEAD 3,223,3024
MOREHEAD 4,201,2748
MOUNT OLIVE,451,5051
MOUNTAIN VIEW #1,414,3909
MOUNTAIN VIEW #2,410,3671
MULLS,168,1857
MURPHY NORTH,141,1896
MURPHY SOUTH,156,2279
NEWPORT 1,272,3030
NEWPORT 2,279,2878
NORTH NEWTON,227,1873
NORTH RIVER,51,621
NORTH WILLIAMS,420,5943
NORTHWEST,374,4147
OAK GROVE,296,3334
OAK HILL,337,3877
OAKLAND HEIGHTS,131,1633
OAKWOOD,109,1392
OTWAY/STRAITS/BETTIE/GLOUCESTER,130,1839
OXFORD,347,3649
PEACHTREE,150,2121
PELETIER,137,1607
PELHAM,222,2590
POLKVILLE,198,2284
PROSPECT HILL,131,1657
PROVIDENCE,1015,10836
RANGER,98,1837
RIDGEVIEW,58,549
RIPPY,363,3339
ROCKY HOCK,122,1505
SANDY RIDGE,536,5109
SAWMILLS,267,3171
SHANGHAI,218,2380
SHELBY CENTRAL,497,5744
SHELBY EAST,193,2330
SHELBY NORTH,329,3977
SHELBY SOUTH,510,5420
SHERRILLS FORD,468,5759
SHILOH,194,1950
SHOOTING CREEK,81,1280
SOUTH MILLS,281,2788
SOUTH NEWTON,313,2819
SPRINGS,496,4443
ST STEPHENS #1,355,2875
ST STEPHENS #2,493,4244
STARTOWN,747,7493
