county,registered_youth,registered_total
PRECINCT 01-21,435,4369
PRECINCT 01-22,482,3812
PRECINCT 01-23,2861,4810
PRECINCT 01-25,112,1166
PRECINCT 01-26,413,2280
PRECINCT 01-27,203,2598
PRECINCT 01-28,333,4192
PRECINCT 01-29,259,2301
PRECINCT 01-30,162,1314
PRECINCT 01-31,642,3093
PRECINCT 01-32,270,2506
PRECINCT 01-33,216,1867
PRECINCT 01-34,156,1575
PRECINCT 01-35,276,2417
PRECINCT 01-36,238,2515
PRECINCT 01-37,163,1814
PRECINCT 01-38,169,2180
PRECINCT 01-39,187,2424
PRECINCT 01-40,539,4331
PRECINCT 01-41,296,1986
PRECINCT 01-42,258,2786
PRECINCT 01-43,178,2360
PRECINCT 01-44,207,3320
PRECINCT 01-45,168,1622
PRECINCT 01-46,355,2533
PRECINCT 01-47,177,2040
PRECINCT 01-48,211,2118
PRECINCT 01-49,546,3032
PRECINCT 01-50,351,2956
PRECINCT 01-51,70,1043
PRECINCT 02-01,316,3183
PRECINCT 02-02,838,6534
PRECINCT 02-03,298,2955
PRECINCT 02-04,308,2538
PRECINCT 02-05,111,1087
PRECINCT 02-06,313,2754
PRECINCT 03-01,899,5454
PRECINCT 03-02,398,3610
PRECINCT 04-01,143,2119
PRECINCT 04-02,310,2827
PRECINCT 04-03,177,1950
PRECINCT 04-04,120,1855
PRECINCT 04-05,374,3631
PRECINCT 04-06,179,3057
PRECINCT 04-07,319,2832
PRECINCT 04-08,256,2551
PRECINCT 04-09,347,2925
PRECINCT 04-10,229,2722
PRECINCT 04-11,153,1577
PRECINCT 04-12,233,2773
PRECINCT 04-13,522,4847
PRECINCT 04-14,127,1627
PRECINCT 04-15,200,2420
PRECINCT 04-16,130,2023
PRECINCT 04-17,140,1772
PRECINCT 04-18,288,2690
PRECINCT 04-19,194,1747
PRECINCT 04-20,240,2953
PRECINCT 04-21,198,1714
PRECINCT 05-01,320,3865
PRECINCT 05-03,454,4320
PRECINCT 05-05,689,7182
PRECINCT 05-06,854,5424
PRECINCT 05-08,633,5055
PRECINCT 05-09,581,4446
PRECINCT 05-10,545,3585
PRECINCT 06-04,514,4335
PRECINCT 06-05,424,3249
PRECINCT 06-06,1037,6764
PRECINCT 06-07,476,3660
PRECINCT 06-08,278,2371
PRECINCT 06-10,829,6354
PRECINCT 06-11,153,1430
PRECINCT 06-12,1099,7900
PRECINCT 07-01,187,1824
PRECINCT 07-02,161,1571
PRECINCT 07-03,116,1580
PRECINCT 07-04,277,3805
PRECINCT 07-05,135,1739
PRECINCT 07-06,223,3564
PRECINCT 07-07,248,4025
PRECINCT 07-09,214,3207
PRECINCT 07-10,388,4825
PRECINCT 07-11,61,1127
PRECINCT 07-12,187,2597
PRECINCT 07-13,136,2238
PRECINCT 08-02,391,4042
PRECINCT 08-03,633,6275
PRECINCT 08-04,211,1806
PRECINCT 08-05,180,2088
PRECINCT 08-06,165,1981
PRECINCT 08-07,285,2623
PRECINCT 08-08,517,4375
PRECINCT 08-09,137,1945
PRECINCT 08-10,284,2757
PRECINCT 08-11,499,4106
PRECINCT 09-01,243,2463
PRECINCT 09-02,478,4169
PRECINCT 09-03,637,6053
PRECINCT 10-01,181,1581
PRECINCT 10-02,600,4747
PRECINCT 10-03,376,3692
PRECINCT 10-05,417,4321
PRECINCT 10-06,579,7171
PRECINCT 11-01,587,5503
PRECINCT 11-02,344,4737
PRECINCT 12-02,702,6388
PRECINCT 12-04,737,6340
PRECINCT 12-06,624,7412
PRECINCT 12-07,422,3480
PRECINCT 12-08,556,5559
PRECINCT 12-09,620,6161
PRECINCT 12-10,770,5240
PRECINCT 12-11,455,3800
PRECINCT 12-12,437,3800
PRECINCT 12-13,356,3396
PRECINCT 13-02,166,1976
PRECINCT 13-05,201,2194
PRECINCT 13-06,240,2968
PRECINCT 13-07,236,2333
PRECINCT 13-08,456,3494
PRECINCT 13-09,573,4641
PRECINCT 13-10,807,6029
PRECINCT 13-11,267,3283
PRECINCT 13-12,320,2880
PRECINCT 13-13,322,3291
PRECINCT 14-01,82,884
PRECINCT 14-02,1059,8410
PRECINCT 15-01,411,4226
PRECINCT 15-02,735,6580
PRECINCT 15-03,575,5482
PRECINCT 15-04,223,2282
PRECINCT 16-01,403,3889
PRECINCT 16-02,661,5236
PRECINCT 16-03,159,1481
PRECINCT 16-04,218,2878
PRECINCT 16-05,223,2648
PRECINCT 16-06,102,1258
PRECINCT 16-07,283,3400
PRECINCT 16-09,646,5630
PRECINCT 16-10,700,5016
PRECINCT 16-11,583,5349
PRECINCT 17-01,284,2737
PRECINCT 17-02,222,2337
PRECINCT 17-03,543,6275
PRECINCT 17-05,448,3911
PRECINCT 17-06,280,2410
PRECINCT 17-07,508,3695
PRECINCT 17-09,505,3876
PRECINCT 17-10,129,1252
PRECINCT 17-11,669,4651
PRECINCT 17-12,467,3866
PRECINCT 17-13,528,5355
PRECINCT 17-15,307,2758
PRECINCT 17-16,268,2416
PRECINCT 17-17,283,2899
PRECINCT 18-01,1184,4378
PRECINCT 18-02,644,5104
PRECINCT 18-03,181,2283
PRECINCT 18-04,486,4910
PRECINCT 18-05,500,5298
PRECINCT 18-06,418,3984
PRECINCT 18-07,435,4113
PRECINCT 18-08,403,4249
PRECINCT 19-03,409,3609
PRECINCT 19-05,468,3666
PRECINCT 19-07,604,5878
PRECINCT 19-09,708,5889
PRECINCT 19-11,383,3724
PRECINCT 19-13,251,2252
PRECINCT 19-14,395,3164
PRECINCT 19-15,357,3027
PRECINCT 19-16,301,3000
PRECINCT 19-17,709,5457
PRECINCT 19-18,631,4825
PRECINCT 19-20,553,3940
PRECINCT 19-21,738,5610
PRECINCT 19-22,455,3523
PRECINCT 19-23,673,5402
PRECINCT 19-24,711,4728
PRECINCT 19-25,362,3107
PRECINCT 20-01,534,3937
PRECINCT 20-03,419,4569
PRECINCT 20-04,505,3571
PRECINCT 20-05,380,4288
PRECINCT 20-06A,671,5669
PRECINCT 20-06B,513,3647
PRECINCT 20-08,660,5057
PRECINCT 20-09,368,2811
PRECINCT 20-10,458,3253
PRECINCT 20-11,836,6702
PRECINCT 20-12,921,6887
PRECINCT 20-15,816,5435
PRECINCT 20-17,1052,5559
PRECINCT 20-18,472,3615
PRECINCT 20-19,956,5138
PRECINCT 20-20,723,4111
ROSMAN EASTATOE,212,2006
SCRK,391,3517
SCUPPERNONG,102,1380
SOUTH FORK,0,21
SOUTH HENDERSON,299,2400
TC1,62,788
TC7,114,1664
WH,233,3056
WHCH,267,2604
WILLIAMSON CREEK,86,1526
11,161,2105
16,211,1962
1920,211,2268
2530,283,2789
BALD MOUNTAIN,46,510
BLOWING ROCK,156,2484
BLUE RIDGE,339,3395
BOOMER,124,1400
BOONE 1,511,1359
BOONE 2,2121,2500
BOONE 3,2317,2756
BRUSHY FORK,1050,3121
BRUSHY MOUNTAIN,40,493
COVE CREEK,195,2089
CRICKET,170,1538
EAST WARRENTON,58,993
EDWARDS #1,115,1085
EDWARDS #2,74,837
EDWARDS #3,213,2538
FAIRPLAINS,136,1290
FERGUSON,67,773
FISHING CREEK,74,965
FORK,25,280
HAWTREE,68,803
JUDKINS,29,444
LAUREL CREEK,95,954
LEES MILL,108,1478
MEAT CAMP,244,2175
MILLERS CREEK,150,1750
MORAVIAN FALLS,139,1859
MOUNT PLEASANT,166,1955
MULBERRY,319,3289
MULBERRY #1,48,661
NEW CASTLE,88,1088
NEW RIVER I,981,2275
NEW RIVER II,835,3053
NEW RIVER III,1026,3607
NORLINA,49,511
NORTH WILKESBORO,202,2009
NUTBUSH,72,1018
PLYMOUTH 1,115,1096
PLYMOUTH 2,87,848
PLYMOUTH 3,192,1990
REDDIES RIVER,352,3709
ROANOKE,32,973
ROCK CREEK,355,3586
SHAWNEEHAW,50,588
SHOCCO,59,700
SIXPOUND,38,818
SKINNERSVILLE,60,760
SMITH CREEK,50,688
SOMERS,60,758
STONY FORK,168,1721
TRAPHILL,164,1997
WALNUT GROVE,57,765
WATAUGA,246,2830
WEST WARRENTON,106,1404
WILKESBORO #1,148,1913
WILKESBORO #2,216,2332
WILKESBORO #3,158,1800
BLACK CREEK,240,2393
BOONVILLE,217,2606
BRUSH CREEK,28,407
CANE RIVER,96,1261
DEEP CREEK,217,1761
EAST BEND,183,2058
EGYPT,36,504
FORBUSH,247,2944
GARDNERS,228,1971
GREEN MOUNTAIN,30,407
JACKS CREEK,122,1328
NORTH BUCK SHOALS,118,1325
NORTH FALL CREEK,83,1038
NORTH KNOBS,225,2556
NORTH LIBERTY,298,3414
OLDFIELDS,457,3993
PENSACOLA,33,500
PRICES CREEK,105,1102
RAMSEYTOWN,16,284
SARATOGA,62,859
SOUTH BUCK SHOALS,73,746
SOUTH FALL CREEK,167,1635
SOUTH KNOBS,106,1095
SOUTH LIBERTY,180,1936
SOUTH TOE,114,1738
SPRING HILL,212,1950
STANTONSBURG,121,1221
TAYLORS,600,5946
TOISNOT,327,3280
WILSON A,108,784
WILSON B,106,894
WILSON C,107,1260
WILSON D,118,1523
WILSON E,120,1152
WILSON H,75,676
WILSON I,145,1456
WILSON J,279,3344
WILSON K,103,1348
WILSON L,178,2067
WILSON M,353,3869
WILSON N,180,1867
WILSON P,121,1420
WILSON Q,49,503
WILSON R,143,1256
