precinct_id,registered_rep,voted_rep_2024,rep_turnout,registered_dem,voted_dem_2024,dem_turnout,registered_una,voted_una_2024,una_turnout,rep_minus_dem,rep_minus_una,dem_minus_una
BEAUFORT_GILEA,993,836,0.8418932527693856,380,303,0.7973684210526316,858,695,0.8100233100233101,0.04452483171675403,0.031869942746075575,-0.012654888970678457
BEAUFORT_HB,412,343,0.8325242718446602,110,94,0.8545454545454545,269,195,0.724907063197026,-0.02202118270079434,0.10761720864763413,0.12963839134842847
BEAUFORT_NCRK,751,642,0.8548601864181092,241,211,0.8755186721991701,442,362,0.8190045248868778,-0.020658485781060887,0.03585566153123143,0.05651414731229232
BEAUFORT_OLDF,566,477,0.842756183745583,530,422,0.7962264150943397,508,362,0.7125984251968503,0.046529768651243364,0.13015775854873268,0.08362798989748932
BEAUFORT_PANTE,464,383,0.8254310344827587,306,228,0.7450980392156863,285,196,0.6877192982456141,0.08033299526707238,0.1377117362371446,0.05737874097007223
BEAUFORT_PINET,458,390,0.851528384279476,107,94,0.8785046728971962,276,214,0.7753623188405797,-0.02697628861772028,0.07616606543889626,0.10314235405661654
BEAUFORT_PSJW3,231,156,0.6753246753246753,734,519,0.7070844686648501,455,228,0.5010989010989011,-0.03175979334017476,0.17422577422577423,0.205985567565949
BEAUFORT_RVRD,806,688,0.8535980148883374,506,378,0.7470355731225297,733,539,0.7353342428376535,0.10656244176580776,0.11826377205068395,0.011701330284876188
BEAUFORT_SURBA,959,814,0.848800834202294,265,213,0.8037735849056604,764,647,0.8468586387434555,0.0450272492966336,0.0019421954588385582,-0.04308505383779504
BEAUFORT_TCRK,1027,868,0.8451801363193768,523,402,0.768642447418738,833,599,0.7190876350540216,0.07653768890063883,0.1260925012653552,0.04955481236471637
BEAUFORT_WASH1,358,272,0.7597765363128491,612,438,0.7156862745098039,562,360,0.6405693950177936,0.044090261803045205,0.1192071412950555,0.07511687949201029
BEAUFORT_WASH2,273,210,0.7692307692307693,722,501,0.6939058171745153,519,289,0.5568400770712909,0.075324952056254,0.21239069215947837,0.13706574010322436
BEAUFORT_WASH4,717,599,0.8354253835425384,631,482,0.7638668779714739,775,521,0.672258064516129,0.07155850557106447,0.16316731902640935,0.09160881345534488
BEAUFORT_WASHP,441,372,0.8435374149659864,290,231,0.7965517241379311,459,356,0.775599128540305,0.04698569082805537,0.06793828642568145,0.020952595597626078
BEAUFORT_WDPD,759,634,0.8353096179183136,215,167,0.7767441860465116,598,460,0.7692307692307693,0.058565431871801965,0.06607884868754432,0.0075134168157423575
BERTIE_C1,182,149,0.8186813186813187,372,286,0.7688172043010753,291,186,0.6391752577319587,0.04986411438024341,0.17950606094935995,0.12964194656911654
BERTIE_C2,106,78,0.7358490566037735,810,631,0.7790123456790123,324,203,0.6265432098765432,-0.04316328907523881,0.10930584672723032,0.15246913580246912
BERTIE_IW,22,14,0.6363636363636364,238,184,0.773109243697479,66,34,0.5151515151515151,-0.13674560733384267,0.12121212121212122,0.2579577285459639
BERTIE_M1,141,124,0.8794326241134752,353,263,0.7450424929178471,216,152,0.7037037037037037,0.13439013119562815,0.1757289204097715,0.04133878921414336
BERTIE_M2,120,83,0.6916666666666667,407,292,0.7174447174447175,234,110,0.4700854700854701,-0.025778050778050843,0.22158119658119657,0.24735924735924741
BERTIE_MH,172,130,0.7558139534883721,383,290,0.7571801566579635,238,161,0.6764705882352942,-0.0013662031695913512,0.07934336525307795,0.0807095684226693
BERTIE_RX,91,69,0.7582417582417582,678,509,0.7507374631268436,320,156,0.4875,0.007504295114914572,0.2707417582417582,0.26323746312684365
BERTIE_SN,63,45,0.7142857142857143,533,411,0.7711069418386491,206,93,0.45145631067961167,-0.05682122755293484,0.26282940360610263,0.31965063115903747
BERTIE_W1,432,315,0.7291666666666666,2054,1584,0.7711781888997079,1109,621,0.5599639314697926,-0.042011522233041276,0.169202735196874,0.2112142574299153
BERTIE_W2,171,145,0.847953216374269,186,159,0.8548387096774194,296,250,0.8445945945945946,-0.0068854933031503585,0.0033586217796743867,0.010244115082824745
BERTIE_WD,53,29,0.5471698113207547,539,385,0.7142857142857143,190,79,0.41578947368421054,-0.1671159029649596,0.13138033763654416,0.29849624060150376
BERTIE_WH,247,196,0.7935222672064778,420,334,0.7952380952380952,359,257,0.7158774373259053,-0.0017158280316174057,0.07764482988057253,0.07936065791218994
BLADEN_P10,192,151,0.7864583333333334,185,140,0.7567567567567568,282,197,0.6985815602836879,0.02970157657657657,0.08787677304964547,0.0581751964730689
BLADEN_P15,876,684,0.7808219178082192,709,493,0.6953455571227081,1249,852,0.6821457165732586,0.08547636068551112,0.09867620123496057,0.013199840549449449
BLADEN_P201,478,392,0.8200836820083682,314,251,0.7993630573248408,652,475,0.7285276073619632,0.020720624683527422,0.09155607464640503,0.0708354499628776
BLADEN_P202,730,556,0.7616438356164383,621,450,0.7246376811594203,1047,700,0.6685768863419294,0.03700615445701805,0.09306694927450898,0.05606079481749093
BLADEN_P25,198,150,0.7575757575757576,464,323,0.6961206896551724,378,231,0.6111111111111112,0.061455067920585194,0.1464646464646464,0.08500957854406122
BLADEN_P30,159,123,0.7735849056603774,769,614,0.7984395318595578,314,160,0.5095541401273885,-0.02485462619918044,0.2640307655329889,0.2888853917321693
BLADEN_P35,133,101,0.7593984962406015,281,215,0.7651245551601423,248,130,0.5241935483870968,-0.005726058919540811,0.23520494785350476,0.24093100677304558
BLADEN_P40,655,523,0.7984732824427481,383,305,0.7963446475195822,683,481,0.7042459736456809,0.0021286349231658397,0.0942273087970672,0.09209867387390136
BLADEN_P45,198,146,0.7373737373737373,153,111,0.7254901960784313,167,111,0.6646706586826348,0.011883541295306,0.0727030786911026,0.0608195373957966
BLADEN_P501,537,421,0.7839851024208566,1227,937,0.7636511817440913,1076,662,0.6152416356877324,0.020333920676765316,0.16874346673312424,0.14840954605635892
BLADEN_P502,355,272,0.7661971830985915,829,634,0.7647768395657418,697,370,0.5308464849354376,0.0014203435328496994,0.2353506981631539,0.2339303546303042
BLADEN_P55,196,150,0.7653061224489796,224,181,0.8080357142857143,186,121,0.6505376344086021,-0.04272959183673475,0.11476848804037743,0.15749807987711217
BLADEN_P60,371,305,0.8221024258760108,573,464,0.8097731239092496,587,371,0.6320272572402045,0.012329301966761186,0.1900751686358063,0.17774586666904513
BLADEN_P65,257,222,0.8638132295719845,140,115,0.8214285714285714,199,154,0.7738693467336684,0.04238465814341308,0.08994388283831611,0.047559224694903035
BLADEN_P70,135,110,0.8148148148148148,198,159,0.803030303030303,151,99,0.6556291390728477,0.011784511784511786,0.15918567574196707,0.14740116395745528
BLADEN_P75,198,154,0.7777777777777778,581,464,0.7986230636833046,362,206,0.569060773480663,-0.02084528590552681,0.20871700429711482,0.22956229020264163
BLADEN_P80,349,272,0.7793696275071633,343,237,0.6909620991253644,515,309,0.6,0.08840752838179888,0.17936962750716334,0.09096209912536446
BRUNSWICK_CB01,1054,774,0.7343453510436433,569,403,0.7082601054481547,994,614,0.6177062374245473,0.026085245595488638,0.11663911361909596,0.09055386802360732
BRUNSWICK_CB02,3226,2455,0.7610043397396157,1306,924,0.7075038284839203,3068,1947,0.6346153846153846,0.05350051125569533,0.1263889551242311,0.07288844386853577
BRUNSWICK_CB03,1341,1068,0.796420581655481,502,367,0.7310756972111554,1173,810,0.690537084398977,0.06534488444432562,0.10588349725650403,0.04053861281217841
BRUNSWICK_CB04,2212,1719,0.777124773960217,698,509,0.7292263610315186,1804,1205,0.667960088691796,0.04789841292869834,0.10916468526842094,0.061266272339722594
BRUNSWICK_CB05,1852,1444,0.7796976241900648,659,507,0.7693474962063733,1597,1117,0.6994364433312461,0.010350127983691504,0.08026118085881873,0.06991105287512722
BRUNSWICK_CB06,3484,2785,0.7993685419058554,1247,977,0.7834803528468324,3162,2273,0.7188488298545225,0.015888189059023006,0.0805197120513329,0.0646315229923099
BRUNSWICK_NB01,828,615,0.7427536231884058,734,547,0.7452316076294278,871,489,0.5614236509758898,-0.0024779844410219853,0.181329972212516,0.183807956653538
BRUNSWICK_NB02,3357,2643,0.7873100983020554,2274,1705,0.7497801231310466,3990,2701,0.6769423558897243,0.03752997517100887,0.11036774241233116,0.0728377672413223
BRUNSWICK_NB03,2616,1975,0.7549694189602446,1214,870,0.7166392092257001,2627,1612,0.6136277122192615,0.038330209734544485,0.14134170674098312,0.10301149700643863
BRUNSWICK_NB04,2553,2076,0.8131609870740305,1570,1263,0.8044585987261147,3155,2327,0.7375594294770206,0.008702388347915813,0.07560155759700993,0.06689916924909411
BRUNSWICK_NB05,1127,806,0.7151730257320319,1205,845,0.7012448132780082,1679,890,0.5300774270399047,0.013928212454023647,0.18509559869212722,0.17116738623810357
BRUNSWICK_NB06,2485,2041,0.821327967806841,1547,1314,0.8493859082094376,3076,2451,0.796814044213264,-0.02805794040259657,0.02451392359357707,0.05257186399617364
BRUNSWICK_NB07,3558,2668,0.7498594716132658,2235,1626,0.72751677852349,4333,2853,0.6584352642510962,0.022342693089775878,0.09142420736216961,0.06908151427239373
BRUNSWICK_SB01,1177,867,0.7366185216652507,731,498,0.6812585499316005,1117,686,0.6141450313339302,0.05535997173365015,0.12247349033132049,0.06711351859767034
BRUNSWICK_SB02,2615,2050,0.7839388145315488,786,584,0.7430025445292621,2491,1675,0.6724207145724609,0.04093627000228672,0.1115180999590879,0.07058182995680118
BRUNSWICK_SB03,3975,3393,0.8535849056603774,1560,1271,0.8147435897435897,3951,3218,0.8144773475069602,0.03884131591678763,0.039107558153417155,0.0002662422366295214
BRUNSWICK_SB04,1627,1273,0.7824216349108789,813,625,0.7687576875768758,1553,1150,0.7405022537025112,0.013663947334003113,0.04191938120836769,0.028255433874364577
BRUNSWICK_SB05,1481,1183,0.7987846049966238,759,595,0.7839262187088274,1476,1034,0.7005420054200542,0.014858386287796455,0.09824259957656967,0.08338421328877321
BRUNSWICK_SB06,1599,1318,0.8242651657285803,587,475,0.8091993185689949,1499,1136,0.7578385590393596,0.015065847159585477,0.06642660668922074,0.05136075952963526
BRUNSWICK_SB07,1513,1240,0.8195637805684072,579,483,0.8341968911917098,1401,1055,0.7530335474660956,-0.014633110623302636,0.06653023310231154,0.08116334372561418
BRUNSWICK_SB08,946,801,0.846723044397463,375,315,0.84,920,711,0.7728260869565218,0.006723044397463074,0.07389695744094127,0.0671739130434782
BRUNSWICK_WB01,1028,829,0.806420233463035,346,236,0.6820809248554913,788,517,0.6560913705583756,0.12433930860754372,0.1503288629046594,0.02598955429711569
BRUNSWICK_WB02,3753,2772,0.7386091127098321,1358,1000,0.7363770250368189,2898,2073,0.7153209109730849,0.0022320876730131944,0.02328820173674717,0.021056114063733977
BRUNSWICK_WB03,620,481,0.7758064516129032,417,290,0.6954436450839329,608,391,0.6430921052631579,0.08036280652897032,0.13271434634974533,0.052351539820775006
BRUNSWICK_WB04,3908,2947,0.7540941658137155,1415,1051,0.742756183745583,3148,2203,0.6998094027954257,0.011337982068132413,0.05428476301828977,0.04294678095015736
BRUNSWICK_WB05,2365,1853,0.7835095137420719,881,712,0.8081725312145289,2128,1613,0.7579887218045113,-0.024663017472457027,0.025520791937560627,0.050183809410017655
BRUNSWICK_WB06,3915,3257,0.8319284802043423,1225,992,0.809795918367347,3067,2307,0.7522008477339419,0.0221325618369953,0.07972763247040038,0.05759507063340508
BUNCOMBE_01.1,154,86,0.5584415584415584,1094,761,0.6956124314442413,1095,680,0.6210045662100456,-0.13717087300268294,-0.06256300776848722,0.07460786523419571
