precinct_id,registered_total,registered_youth,voted_total_2024,voted_youth_2024,turnout_total,turnout_youth,turnout_gap,youth_share,youth_potential,nonvoting_youth
ALAMANCE_125,1958,130,1507,49,0.7696629213483146,0.3769230769230769,0.3927398444252377,0.06639427987742594,0.6230769230769231,81
ALAMANCE_126,1786,125,1514,66,0.8477043673012318,0.528,0.31970436730123175,0.06998880179171332,0.472,59
ALAMANCE_127,4416,591,2833,187,0.6415307971014492,0.3164128595600677,0.3251179375413815,0.13383152173913043,0.6835871404399323,404
ALAMANCE_128,2036,238,1130,61,0.5550098231827112,0.25630252100840334,0.29870730217430785,0.1168958742632613,0.7436974789915967,177
ALAMANCE_129,1795,147,1407,74,0.7838440111420613,0.5034013605442177,0.28044265059784357,0.0818941504178273,0.4965986394557823,73
ALAMANCE_12E,1650,228,942,56,0.5709090909090909,0.24561403508771928,0.32529505582137164,0.13818181818181818,0.7543859649122807,172
ALAMANCE_12N,3428,427,2105,112,0.6140606767794633,0.26229508196721313,0.35176559481225017,0.12456242707117852,0.7377049180327869,315
ALAMANCE_12S,1279,217,740,73,0.5785770132916341,0.33640552995391704,0.2421714833377171,0.16966379984362784,0.663594470046083,144
ALAMANCE_12W,1990,154,1486,82,0.7467336683417085,0.5324675324675324,0.2142661358741761,0.07738693467336684,0.4675324675324675,72
ALAMANCE_13,3965,447,2779,145,0.7008827238335436,0.3243847874720358,0.37649793636150775,0.11273644388398486,0.6756152125279642,302
ALEXANDER_B1,3032,240,2450,125,0.808047493403694,0.5208333333333334,0.2872141600703606,0.079155672823219,0.4791666666666667,115
ALEXANDER_B2,3612,323,2921,165,0.8086932447397563,0.5108359133126935,0.29785733142706283,0.08942414174972314,0.4891640866873065,158
ALEXANDER_E,2399,204,1970,97,0.8211754897874114,0.47549019607843135,0.34568529370898005,0.0850354314297624,0.5245098039215687,107
ALEXANDER_G1G2,1599,162,1313,88,0.8211382113821138,0.5432098765432098,0.277928334838904,0.10131332082551595,0.4567901234567901,74
