GEOID,total_pop,male_pop,female_pop,white_pop,black_pop,native_pop,asian_pop,pacific_pop,other_pop,multiracial_pop,hispanic_pop,under_18,age_18_24,age_25_34,age_35_44,age_45_64,age_65_plus
370630020352,1002,477,525,471,255,16,73,0,99,88,191,131,60,284,193,231,103
370630020353,2423,1170,1253,890,844,22,129,3,302,233,502,472,161,315,569,614,292
370630020354,1258,552,706,405,610,8,33,0,104,98,149,259,94,240,252,271,142
370630020361,1503,639,864,288,921,12,69,0,90,123,152,379,137,241,265,316,165
370630020362,1353,600,753,502,619,5,107,0,41,79,103,147,74,600,279,217,36
370630020363,1451,634,817,477,637,15,107,1,112,102,207,210,83,527,302,240,89
370630020371,3771,1830,1941,1448,1206,22,654,0,118,323,296,485,146,1035,984,882,239
370630020372,3394,1776,1618,1348,747,14,997,7,88,193,186,356,136,1092,901,696,213
370630020381,1332,591,741,558,486,9,127,1,53,98,120,160,83,294,287,297,211
370630020382,2822,1291,1531,1580,779,12,187,0,67,197,201,448,135,232,495,756,756
370630020383,1570,706,864,625,661,9,109,0,54,112,145,174,48,351,411,448,138
370630021001,855,417,438,714,81,4,3,0,15,38,22,149,69,65,80,245,247
370630021002,853,428,425,628,155,1,13,0,6,50,29,145,72,34,80,281,241
370630021003,712,357,355,518,100,1,24,0,32,37,48,130,45,64,75,208,190
370630021004,3376,2924,452,1723,1519,36,16,0,24,58,299,154,88,410,799,1432,493
370630021005,646,322,324,547,50,3,0,0,19,27,32,109,44,35,63,219,176
